hrp_5(Colorimetric),sample,HA,TBP,ratio,,
rep1,C40,8197.782,6464.004,1.26822044,,PERCENTAGE depletion
rep2,C40,6674.125,5677.761,1.175485372,,93.50823493
rep3,C40,4965.004,5275.033,0.941227098,,
rep4,C40,4489.882,5614.104,0.799750414,,
rep5,C40,4411.296,3700.74,1.192003761,,
rep1,C40+IAA,113.364,2812.79,0.040303044,,
rep2,C40+IAA,466.092,4523.447,0.10303912,,
rep3,C40+IAA,512.678,4856.912,0.10555637,,
rep4,C40+IAA,263.435,5727.497,0.045994786,,
rep5,C40+IAA,136.192,2515.154,0.054148573,,
